full_name,f_name,affiliation,paper_title,paper_url,year
Sandra Zilles,sandra,,Fast and Accurate Predictions of IDA*'s Performance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4962,2012
Robert C. Holte,robert,,Fast and Accurate Predictions of IDA*'s Performance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4962,2012
Yuliya Lierler,yuliya,,On the Relation of Constraint Answer Set Programming Languages and Algorithms,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4850,2012
Brammert Ottens,brammert,,DUCT: An Upper Confidence Bound Approach to Distributed Constraint Optimization Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4938,2012
Christos Dimitrakakis,christos,,DUCT: An Upper Confidence Bound Approach to Distributed Constraint Optimization Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4938,2012
Boi Faltings,boi,,DUCT: An Upper Confidence Bound Approach to Distributed Constraint Optimization Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4938,2012
Anastasia Paparrizou,anastasia,,An Efficient Higher-Order Consistency Algorithm for Table Constraints,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4973,2012
Kostas Stergiou,kostas,,An Efficient Higher-Order Consistency Algorithm for Table Constraints,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4973,2012
Duc Nghia Pham,duc,,Trap Avoidance in Local Search Using Pseudo-Conflict Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5185,2012
Thach-Thao Duong,thach-thao,,Trap Avoidance in Local Search Using Pseudo-Conflict Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5185,2012
Abdul Sattar,abdul,,Trap Avoidance in Local Search Using Pseudo-Conflict Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5185,2012
Mark Richards,mark,,Information Set Generation in Partially Observable Games,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5142,2012
Eyal Amir,eyal,,Information Set Generation in Partially Observable Games,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5142,2012
Abdallah Saffidine,abdallah,,Alpha-Beta Pruning for Games with Simultaneous Moves,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5181,2012
Hilmar Finnsson,hilmar,,Alpha-Beta Pruning for Games with Simultaneous Moves,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5181,2012
Michael Buro,michael,,Alpha-Beta Pruning for Games with Simultaneous Moves,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5181,2012
Guni Sharon,guni,,Conflict-Based Search For Optimal Multi-Agent Path Finding,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5062,2012
Roni Stern,roni,,Conflict-Based Search For Optimal Multi-Agent Path Finding,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5062,2012
Ariel Felner,ariel,,Conflict-Based Search For Optimal Multi-Agent Path Finding,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5062,2012
Nathan Stutervant,nathan,,Conflict-Based Search For Optimal Multi-Agent Path Finding,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5062,2012
David Tolpin,david,,MCTS Based on Simple Regret,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4798,2012
Solomon Eyal Shimony,solomon,,MCTS Based on Simple Regret,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4798,2012
Philippe Van Kessel,philippe,,Filtering Algorithms Based on the Word-RAM Model,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5135,2012
Claude-Guy Quimper,claude-guy,,Filtering Algorithms Based on the Word-RAM Model,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5135,2012
Lin Xu,lin,,Predicting Satisfiability at the Phase Transition,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5098,2012
Holger H. Hoos,holger,,Predicting Satisfiability at the Phase Transition,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5098,2012
