Qiang Cheng,,Top-N Recommender System via Matrix Completion,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11824,2016
Virgile Landeiro,,Robust Text Classification in the Presence of Confounding Bias,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12445,2016
Aron Culotta,,Robust Text Classification in the Presence of Confounding Bias,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12445,2016
Qiang Liu,,Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11900,2016
Shu Wu,,Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11900,2016
Liang Wang,,Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11900,2016
Tieniu Tan,,Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11900,2016
Ye Liu,,Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
Luming Zhang,,Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
Liqiang Nie,,Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
Yan Yan,,Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
David S. Rosenblum,,Fortune Teller: Predicting Your Career Path,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11885,2016
Suhas Ranganath,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Fred Morstatter,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Xia Hu,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Jiliang Tang,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Suhang Wang,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Huan Liu,,Predicting Online Protest Participation of Social Media Users,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12289,2016
Yafeng Ren,,Context-Sensitive Twitter Sentiment Classification Using Neural Network,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11922,2016
Yue Zhang,,Context-Sensitive Twitter Sentiment Classification Using Neural Network,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11922,2016
Meishan Zhang,,Context-Sensitive Twitter Sentiment Classification Using Neural Network,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11922,2016
Donghong Ji,,Context-Sensitive Twitter Sentiment Classification Using Neural Network,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11922,2016
Mehdi Samadi,,ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12397,2016
Partha Talukdar,,ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12397,2016
Manuela Veloso,,ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12397,2016
Manuel Blum,,ClaimEval: Integrated and Flexible Framework for Claim Evaluation Using Credibility of Sources,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12397,2016
Suvash Sedhain,,On the Effectiveness of Linear Models for One-Class Collaborative Filtering,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12333,2016
Aditya Krishna Menon,,On the Effectiveness of Linear Models for One-Class Collaborative Filtering,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12333,2016
Scott Sanner,,On the Effectiveness of Linear Models for One-Class Collaborative Filtering,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12333,2016
Darius Braziunas,,On the Effectiveness of Linear Models for One-Class Collaborative Filtering,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12333,2016
SungRyull Sohn,,Supervised Hashing via Uncorrelated Component Analysis,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11748,2016
Hyunwoo Kim,,Supervised Hashing via Uncorrelated Component Analysis,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11748,2016
Junmo Kim,,Supervised Hashing via Uncorrelated Component Analysis,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11748,2016
Niket Tandon,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Charles Hariman,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Jacopo Urbani,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Anna Rohrbach,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Marcus Rohrbach,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Gerhard Weikum,,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12337,2016
Jiliang Tang,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Suhang Wang,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Xia Hu,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Dawei Yin,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Yingzhou Bi,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Yi Chang,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Huan Liu,,Recommendation with Social Dimensions,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11962,2016
Jacopo Urbani,,Column-Oriented Datalog Materialization for Large Knowledge Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12341,2016
Ceriel Jacobs,,Column-Oriented Datalog Materialization for Large Knowledge Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12341,2016
Markus Krötzsch,,Column-Oriented Datalog Materialization for Large Knowledge Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12341,2016
Xiao Wang,,Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
Di Jin,,Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
Xiaochun Cao,,Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
Liang Yang,,Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
Weixiong Zhang,,Semantic Community Identification in Large Attribute Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11964,2016
Bo Wu,,Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11887,2016
Tao Mei,,Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11887,2016
Wen-Huang Cheng,,Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11887,2016
Yongdong Zhang,,Unfolding Temporal Dynamics: Predicting Social Media Popularity Using Multi-scale Temporal Decomposition,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11887,2016
Le Wu,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Yong Ge,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Qi Liu,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Enhong Chen,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Bai Long,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Zhenya Huang,,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12061,2016
Tianxing Wu,,Cross-Lingual Taxonomy Alignment with Bilingual Biterm Topic Model,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12011,2016
